Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Supply_Demand_Ratio,Is_Peak_Hour,Demand_Urgency,Customer_Segment,Cancellation_Risk_Index
90,45,Urban,silver,13,4.47,Night,Premium,90,284.25727302188227,0.5,0,0,1,Moderate Risk
58,39,Suburban,silver,72,4.06,Evening,Economy,43,173.87475274940766,0.6724137931034483,0,0,2,Moderate Risk
42,31,Rural,silver,0,3.99,Afternoon,Premium,76,329.7954689622466,0.7380952380952381,1,1,1,High Risk
89,28,Rural,regular,67,4.31,Afternoon,Premium,134,470.2012317513198,0.3146067415730337,1,1,2,Moderate Risk
78,22,Rural,regular,74,3.77,Afternoon,Economy,149,579.6814223640141,0.282051282051282,1,1,2,Moderate Risk
59,35,Urban,silver,83,3.51,Night,Economy,128,339.9553606047221,0.5932203389830508,0,0,2,Moderate Risk
93,43,Suburban,regular,44,4.41,Afternoon,Premium,16,104.06154127359152,0.4623655913978494,1,1,1,Moderate Risk
62,39,Rural,gold,83,3.59,Afternoon,Premium,47,235.81186355605,0.6290322580645161,1,1,2,Moderate Risk
79,14,Rural,silver,71,3.74,Evening,Economy,128,501.4125174833056,0.1772151898734177,0,0,2,Moderate Risk
42,6,Rural,silver,21,3.85,Night,Premium,128,398.9933645706103,0.1428571428571428,0,0,1,Moderate Risk
86,17,Urban,regular,99,4.69,Morning,Economy,167,669.2986264658781,0.1976744186046511,1,1,2,Low Risk
60,38,Rural,gold,15,4.14,Evening,Premium,144,414.9901047325251,0.6333333333333333,0,0,2,Moderate Risk
24,8,Rural,gold,50,4.12,Morning,Economy,164,490.41072171830416,0.3333333333333333,1,1,2,Moderate Risk
36,24,Suburban,silver,88,4.22,Night,Premium,83,296.24287599192223,0.6666666666666666,0,0,2,Moderate Risk
63,13,Rural,regular,74,4.95,Afternoon,Premium,102,327.0888648717375,0.2063492063492063,1,1,2,Low Risk
39,12,Urban,silver,30,4.51,Afternoon,Premium,140,445.1368684239125,0.3076923076923077,1,1,1,Low Risk
38,28,Rural,silver,35,3.93,Afternoon,Premium,54,244.5361718306458,0.7368421052631579,1,1,1,Moderate Risk
46,14,Suburban,silver,21,4.71,Afternoon,Economy,15,47.31430863361691,0.3043478260869565,1,1,1,Moderate Risk
33,7,Suburban,gold,49,4.31,Evening,Premium,22,129.8082629093964,0.2121212121212121,0,0,2,Moderate Risk
31,7,Suburban,silver,24,4.82,Evening,Premium,87,382.9481103198511,0.2258064516129032,0,0,1,Moderate Risk
96,45,Urban,regular,6,4.95,Afternoon,Premium,11,82.77279318243978,0.46875,1,1,0,Moderate Risk
22,11,Suburban,silver,79,4.48,Night,Economy,15,64.07117255500656,0.5,0,0,2,Moderate Risk
74,16,Rural,regular,6,3.97,Morning,Economy,139,390.6687658288554,0.2162162162162162,1,1,0,High Risk
24,12,Urban,regular,10,3.6,Evening,Premium,45,212.1665249737545,0.5,0,0,0,Moderate Risk
48,19,Suburban,gold,72,3.81,Night,Premium,65,235.65813370551408,0.3958333333333333,0,0,2,Moderate Risk
56,13,Rural,regular,36,4.81,Evening,Economy,162,406.5574980533908,0.2321428571428571,0,0,1,Low Risk
72,33,Rural,gold,66,4.39,Morning,Premium,30,182.4744270596517,0.4583333333333333,1,1,2,Moderate Risk
97,75,Urban,silver,76,4.7,Night,Economy,158,652.617297300081,0.7731958762886598,0,0,2,Low Risk
62,33,Suburban,regular,39,3.91,Evening,Premium,129,403.22709836941993,0.532258064516129,0,0,1,Moderate Risk
57,38,Suburban,silver,54,4.1,Night,Premium,131,537.7848594528473,0.6666666666666666,0,0,2,Moderate Risk
25,7,Suburban,silver,13,3.99,Morning,Premium,81,286.13145256368455,0.28,1,1,1,Moderate Risk
75,56,Suburban,gold,94,4.79,Evening,Premium,153,485.0546633356366,0.7466666666666667,0,0,2,Low Risk
39,9,Urban,gold,39,4.64,Afternoon,Premium,48,171.0859835160851,0.2307692307692307,1,1,2,Low Risk
35,24,Suburban,gold,73,3.76,Evening,Premium,105,485.8784537318511,0.6857142857142857,0,0,2,Moderate Risk
68,32,Suburban,regular,34,3.58,Morning,Economy,77,294.7328864777875,0.4705882352941176,1,1,1,Moderate Risk
96,43,Rural,silver,97,3.68,Morning,Premium,91,392.83872040801793,0.4479166666666667,1,1,2,Moderate Risk
28,11,Suburban,gold,52,4.33,Afternoon,Premium,94,456.1809467866996,0.3928571428571428,1,1,2,Moderate Risk
25,15,Rural,gold,65,4.88,Evening,Premium,101,502.5293207873477,0.6,0,0,2,Low Risk
28,6,Suburban,regular,2,4.29,Morning,Economy,89,244.21766165291973,0.2142857142857142,1,1,0,Moderate Risk
73,17,Rural,regular,14,4.81,Evening,Premium,170,634.7265312250814,0.2328767123287671,0,0,0,Moderate Risk
